term	stem	removestop	sim	termweights	p_0.25	p_0.5	p_0.75	p_1.0	p_mean1	p_mean2	r_norm	p_norm
tfidf	False	True	cosine	1,3,4,1	0.0812	0.0812	0.0812	0.0812	0.0812	0.0812	0.6383	0.2551
tfidf	False	True	cosine	1,1,1,4	0.0713	0.0713	0.0713	0.0713	0.0713	0.0713	0.6576	0.2615
tfidf	False	True	jaccard	1,1,1,1	0.0874	0.0874	0.0874	0.0874	0.0874	0.0874	0.6423	0.2576
tfidf	False	True	jaccard	1,3,4,1	0.0766	0.0766	0.0766	0.0766	0.0766	0.0766	0.6483	0.2629
tfidf	False	True	jaccard	1,1,1,4	0.0378	0.0378	0.0378	0.0378	0.0378	0.0378	0.6079	0.2388
tfidf	False	True	dice	1,1,1,1	0.1011	0.1011	0.1011	0.1011	0.1011	0.1011	0.6423	0.2576
tfidf	False	True	dice	1,3,4,1	0.0835	0.0835	0.0835	0.0835	0.0835	0.0835	0.6479	0.2622
tfidf	False	True	dice	1,1,1,4	0.0712	0.0712	0.0712	0.0712	0.0712	0.0712	0.6048	0.2366
tfidf	False	True	overlap	1,1,1,1	0.0906	0.0906	0.0906	0.0906	0.0906	0.0906	0.6292	0.2452
tfidf	False	True	overlap	1,3,4,1	0.0993	0.0993	0.0993	0.0993	0.0993	0.0993	0.6264	0.2431
tfidf	False	True	overlap	1,1,1,4	0.0549	0.0549	0.0549	0.0549	0.0549	0.0549	0.6412	0.2493
tfidf	True	False	cosine	1,1,1,1	0.1152	0.1152	0.1152	0.1152	0.1152	0.1152	0.4922	0.1759
tfidf	True	False	cosine	1,3,4,1	0.1021	0.1021	0.1021	0.1021	0.1021	0.1021	0.5063	0.1843
tfidf	True	False	cosine	1,1,1,4	0.0817	0.0817	0.0817	0.0817	0.0817	0.0817	0.4885	0.1740
tfidf	True	False	jaccard	1,1,1,1	0.0785	0.0785	0.0785	0.0785	0.0785	0.0785	0.4880	0.1772
tfidf	True	False	jaccard	1,3,4,1	0.0629	0.0629	0.0629	0.0629	0.0629	0.0629	0.5208	0.1984
tfidf	True	False	jaccard	1,1,1,4	0.0383	0.0383	0.0383	0.0383	0.0383	0.0383	0.4400	0.1467
tfidf	True	False	dice	1,1,1,1	0.1115	0.1115	0.1115	0.1115	0.1115	0.1115	0.4879	0.1771
tfidf	True	False	dice	1,3,4,1	0.0870	0.0870	0.0870	0.0870	0.0870	0.0870	0.5202	0.1980
tfidf	True	False	dice	1,1,1,4	0.0832	0.0832	0.0832	0.0832	0.0832	0.0832	0.4351	0.1452
tfidf	True	False	overlap	1,1,1,1	0.0881	0.0881	0.0881	0.0881	0.0881	0.0881	0.4617	0.1534
tfidf	True	False	overlap	1,3,4,1	0.1037	0.1037	0.1037	0.1037	0.1037	0.1037	0.4544	0.1508
tfidf	True	False	overlap	1,1,1,4	0.0589	0.0589	0.0589	0.0589	0.0589	0.0589	0.4623	0.1535
tfidf	True	True	cosine	1,1,1,1	0.1241	0.1241	0.1241	0.1241	0.1241	0.1241	0.5424	0.1909
tfidf	True	True	cosine	1,3,4,1	0.1132	0.1132	0.1132	0.1132	0.1132	0.1132	0.5346	0.1934
tfidf	True	True	cosine	1,1,1,4	0.0854	0.0854	0.0854	0.0854	0.0854	0.0854	0.5438	0.1912
tfidf	True	True	jaccard	1,1,1,1	0.0986	0.0986	0.0986	0.0986	0.0986	0.0986	0.5358	0.1913
tfidf	True	True	jaccard	1,3,4,1	0.0696	0.0696	0.0696	0.0696	0.0696	0.0696	0.5453	0.2017
tfidf	True	True	jaccard	1,1,1,4	0.0378	0.0378	0.0378	0.0378	0.0378	0.0378	0.5044	0.1728
tfidf	True	True	dice	1,1,1,1	0.1324	0.1324	0.1324	0.1324	0.1324	0.1324	0.5357	0.1912
tfidf	True	True	dice	1,3,4,1	0.0978	0.0978	0.0978	0.0978	0.0978	0.0978	0.5444	0.2011
tfidf	True	True	dice	1,1,1,4	0.0861	0.0861	0.0861	0.0861	0.0861	0.0861	0.4982	0.1703
tfidf	True	True	overlap	1,1,1,1	0.1074	0.1074	0.1074	0.1074	0.1074	0.1074	0.5130	0.1764
tfidf	True	True	overlap	1,3,4,1	0.1202	0.1202	0.1202	0.1202	0.1202	0.1202	0.5143	0.1769
tfidf	True	True	overlap	1,1,1,4	0.0665	0.0665	0.0665	0.0665	0.0665	0.0665	0.5206	0.1780
boolean	False	False	cosine	1,1,1,1	0.0411	0.0411	0.0411	0.0411	0.0411	0.0411	0.5959	0.2653
boolean	False	False	cosine	1,3,4,1	0.0411	0.0411	0.0411	0.0411	0.0411	0.0411	0.5959	0.2653
boolean	False	False	cosine	1,1,1,4	0.0411	0.0411	0.0411	0.0411	0.0411	0.0411	0.5959	0.2653
boolean	False	False	jaccard	1,1,1,1	0.0364	0.0364	0.0364	0.0364	0.0364	0.0364	0.6201	0.2909
boolean	False	False	jaccard	1,3,4,1	0.0364	0.0364	0.0364	0.0364	0.0364	0.0364	0.6201	0.2909
boolean	False	False	jaccard	1,1,1,4	0.0364	0.0364	0.0364	0.0364	0.0364	0.0364	0.6201	0.2909
boolean	False	False	dice	1,1,1,1	0.0364	0.0364	0.0364	0.0364	0.0364	0.0364	0.6201	0.2909
boolean	False	False	dice	1,3,4,1	0.0364	0.0364	0.0364	0.0364	0.0364	0.0364	0.6201	0.2909
boolean	False	False	dice	1,1,1,4	0.0364	0.0364	0.0364	0.0364	0.0364	0.0364	0.6201	0.2909
boolean	False	False	overlap	1,1,1,1	0.0399	0.0399	0.0399	0.0399	0.0399	0.0399	0.5573	0.2050
boolean	False	False	overlap	1,3,4,1	0.0399	0.0399	0.0399	0.0399	0.0399	0.0399	0.5573	0.2050
boolean	False	False	overlap	1,1,1,4	0.0399	0.0399	0.0399	0.0399	0.0399	0.0399	0.5573	0.2050
boolean	False	True	cosine	1,1,1,1	0.0396	0.0396	0.0396	0.0396	0.0396	0.0396	0.7581	0.3294
boolean	False	True	cosine	1,3,4,1	0.0396	0.0396	0.0396	0.0396	0.0396	0.0396	0.7581	0.3294
boolean	False	True	cosine	1,1,1,4	0.0396	0.0396	0.0396	0.0396	0.0396	0.0396	0.7581	0.3294
boolean	False	True	jaccard	1,1,1,1	0.0381	0.0381	0.0381	0.0381	0.0381	0.0381	0.7594	0.3358
boolean	False	True	jaccard	1,3,4,1	0.0381	0.0381	0.0381	0.0381	0.0381	0.0381	0.7594	0.3358
boolean	False	True	jaccard	1,1,1,4	0.0381	0.0381	0.0381	0.0381	0.0381	0.0381	0.7594	0.3358
boolean	False	True	dice	1,1,1,1	0.0381	0.0381	0.0381	0.0381	0.0381	0.0381	0.7594	0.3358
boolean	False	True	dice	1,3,4,1	0.0381	0.0381	0.0381	0.0381	0.0381	0.0381	0.7594	0.3358
boolean	False	True	dice	1,1,1,4	0.0381	0.0381	0.0381	0.0381	0.0381	0.0381	0.7594	0.3358
boolean	False	True	overlap	1,1,1,1	0.0425	0.0425	0.0425	0.0425	0.0425	0.0425	0.7473	0.3110
boolean	False	True	overlap	1,3,4,1	0.0425	0.0425	0.0425	0.0425	0.0425	0.0425	0.7473	0.3110
boolean	False	True	overlap	1,1,1,4	0.0425	0.0425	0.0425	0.0425	0.0425	0.0425	0.7473	0.3110
boolean	True	False	cosine	1,1,1,1	0.0385	0.0385	0.0385	0.0385	0.0385	0.0385	0.5244	0.2307
boolean	True	False	cosine	1,3,4,1	0.0385	0.0385	0.0385	0.0385	0.0385	0.0385	0.5244	0.2307
boolean	True	False	cosine	1,1,1,4	0.0385	0.0385	0.0385	0.0385	0.0385	0.0385	0.5244	0.2307
boolean	True	False	jaccard	1,1,1,1	0.0371	0.0371	0.0371	0.0371	0.0371	0.0371	0.5571	0.2595
boolean	True	False	jaccard	1,3,4,1	0.0371	0.0371	0.0371	0.0371	0.0371	0.0371	0.5571	0.2595
boolean	True	False	jaccard	1,1,1,4	0.0371	0.0371	0.0371	0.0371	0.0371	0.0371	0.5571	0.2595
